date,strategy,training_start,training_end,training_observations,condition_number,minimum_eigenvalue,shrinkage,effective_n_assets,largest_weight
2024-07-01,ledoit_wolf_min_variance,2023-06-29,2024-06-28,252,82.35218321808838,3.7494064359251177e-06,0.03296559926805086,3.6933535006512206,0.4
2024-07-01,sample_min_variance,2023-06-29,2024-06-28,252,204.98047174820718,1.552487230480441e-06,,3.655527966933583,0.4
2024-10-01,ledoit_wolf_min_variance,2023-09-29,2024-09-30,252,72.75804417163721,4.107862053445267e-06,0.037891358772266875,3.3716769835537814,0.4
2024-10-01,sample_min_variance,2023-09-29,2024-09-30,252,221.29213389814572,1.3963367180812818e-06,,3.353045412767012,0.4
2024-10-01,inverse_volatility,2023-09-29,2024-09-30,252,,,,7.470202573055454,0.23712244045949074
2024-10-01,quarterly_equal_weight,2023-09-29,2024-09-30,252,,,,9.0,0.1111111111111111
2025-01-02,sample_min_variance,2024-01-02,2024-12-31,252,215.29344371146286,1.2496155817230584e-06,,3.134364410319928,0.3999999999999999
2025-01-02,inverse_volatility,2024-01-02,2024-12-31,252,,,,7.075237961204755,0.2567180573634528
2025-01-02,quarterly_equal_weight,2024-01-02,2024-12-31,252,,,,9.0,0.1111111111111111
2025-01-02,ledoit_wolf_min_variance,2024-01-02,2024-12-31,252,64.90947974539668,3.997007240092729e-06,0.0422730233996693,3.1999442199806167,0.3999999999999999
2025-04-01,sample_min_variance,2024-03-28,2025-03-31,252,276.87861419157394,9.960412024134987e-07,,2.9747122132347097,0.4
2025-04-01,ledoit_wolf_min_variance,2024-03-28,2025-03-31,252,65.85509784683029,4.035015955013683e-06,0.04386139220978198,3.0530007780877364,0.4000000000000001
2025-04-01,quarterly_equal_weight,2024-03-28,2025-03-31,252,,,,9.0,0.1111111111111111
2025-04-01,inverse_volatility,2024-03-28,2025-03-31,252,,,,6.856977322286913,0.26672917010307834
2025-07-01,sample_min_variance,2024-06-27,2025-06-30,252,321.27883830272833,1.4696290936873637e-06,,2.9495085340330864,0.4
2025-07-01,ledoit_wolf_min_variance,2024-06-27,2025-06-30,252,33.42406857759693,1.2818645317851449e-05,0.11345563411225172,2.965692795197228,0.4
2025-07-01,inverse_volatility,2024-06-27,2025-06-30,252,,,,6.43397014808094,0.286566020866076
2025-07-01,quarterly_equal_weight,2024-06-27,2025-06-30,252,,,,9.0,0.1111111111111111
2025-10-01,inverse_volatility,2024-09-27,2025-09-30,252,,,,6.537335875912733,0.2813799019728005
2025-10-01,quarterly_equal_weight,2024-09-27,2025-09-30,252,,,,9.0,0.1111111111111111
2025-10-01,sample_min_variance,2024-09-27,2025-09-30,252,288.8552821581815,1.4385000639304648e-06,,2.935223081707003,0.4000000000000001
2025-10-01,ledoit_wolf_min_variance,2024-09-27,2025-09-30,252,25.48645470360805,1.4435994535223132e-05,0.14293186354257223,3.129098596885088,0.4
